ts_open,ts_close,symbol,side,entry,exit,qty,pnl,exit_type,entry_reason
1735696260000,1735699860000,BTCUSDT,SHORT,93711.69,93988.98603911661,0.1067,-44.60823397377286,TSL,donchian_breakout
1735711200000,1735714740000,BTCUSDT,SHORT,93746.98,93746.98,0.1066,-14.990142101999998,BE,donchian_breakout
1735717080000,1735719900000,BTCUSDT,LONG,93800.0,93594.1205765584,0.1066,-36.92890647897021,TSL,donchian_breakout
1735729320000,1735734000000,BTCUSDT,SHORT,93243.01,93609.40243082144,0.1072,-54.30020254349729,TSL,donchian_breakout
1735764540000,1735772520000,BTCUSDT,LONG,94847.98,94699.37677032672,0.10540000000000001,-30.646498960257382,TSL,donchian_breakout
1735783800000,1735798620000,BTCUSDT,LONG,95106.61,95476.00104789178,0.09920000000000001,22.464245688901666,TSL,donchian_breakout
1735803480000,1735826400000,BTCUSDT,LONG,95879.97,96415.25920773215,0.1042,40.74926328310523,TSL,donchian_breakout
1735852860000,1735870500000,BTCUSDT,SHORT,97122.1,97166.22208296551,0.1029,-19.534363593903507,TSL,donchian_breakout
1735874400000,1735884420000,BTCUSDT,SHORT,96901.28,96901.28,0.10310000000000001,-14.985782952000003,BE,donchian_breakout
1735909320000,1735913400000,BTCUSDT,SHORT,96601.01,96886.725020552,0.10350000000000001,-44.59099005810246,SL,donchian_breakout
1735938060000,1735944060000,BTCUSDT,SHORT,98276.01,98416.44355914727,0.0804,-23.15141310505767,TSL,donchian_breakout
1735983960000,1735987920000,BTCUSDT,SHORT,97751.88,97787.61657497518,0.1022,-18.640380374934942,TSL,donchian_breakout
1735988580000,1735990980000,BTCUSDT,SHORT,97771.5,97833.97328937332,0.1022,-21.377929701583383,TSL,donchian_breakout
1736011140000,1736017440000,BTCUSDT,LONG,97815.63,97944.95368037981,0.1022,-1.7881686042849072,TSL,donchian_breakout
1736029260000,1736030100000,BTCUSDT,SHORT,98329.98,98390.74260741386,0.10160000000000001,-21.163599975933924,TSL,donchian_breakout
1736039280000,1736042940000,BTCUSDT,SHORT,98153.84,98153.84,0.1018,-14.988091368000001,BE,donchian_breakout
1736043780000,1736048640000,BTCUSDT,LONG,98209.69,98103.767559698,0.1018,-25.77143690742708,TSL,donchian_breakout
1736062080000,1736065020000,BTCUSDT,SHORT,98366.17,97898.03189757511,0.10160000000000001,32.607499021772995,TP,donchian_breakout
1736078040000,1736079240000,BTCUSDT,SHORT,97616.55,97722.409228611,0.1024,-25.84201707852295,TSL,donchian_breakout
1736089560000,1736097360000,BTCUSDT,LONG,98007.57,97984.57308572982,0.10200000000000001,-17.339084201617553,TSL,donchian_breakout
1736103300000,1736114340000,BTCUSDT,LONG,97926.44,98492.7467967281,0.10210000000000001,42.77912471697904,TSL,donchian_breakout
1736125860000,1736128380000,BTCUSDT,SHORT,98095.02,98475.88631591885,0.1019,-53.83320910732426,TSL,donchian_breakout
