symbol,time,direction,entry,stop,r0,reason,exit,exit_reason,stop_mode,be_armed,tsl_active,be_price,r_realized
SOLUSDT,2025-01-04T14:22:00+00:00,SHORT,216.24,216.24,0.5300000000000011,wavegate_momentum,216.24,BE,BE,True,False,216.24,0.0
SOLUSDT,2025-01-10T22:58:00+00:00,LONG,188.16,187.75,0.4099999999999966,wavegate_momentum,187.75,SL,INIT,False,False,188.16,-1.0
SOLUSDT,2025-01-12T04:32:00+00:00,SHORT,187.04,187.36,0.3200000000000216,wavegate_momentum,187.36,SL,INIT,False,False,187.04,-1.0
SOLUSDT,2025-01-16T03:03:00+00:00,SHORT,202.6,203.07,0.46999999999999886,wavegate_momentum,203.07,SL,INIT,False,False,202.6,-1.0
SOLUSDT,2025-03-03T14:59:00+00:00,SHORT,155.13,139.66831895964597,5.090000000000003,wavegate_momentum,139.66831895964597,TSL,TSL,True,True,155.13,3.037658357633401
SOLUSDT,2025-03-23T11:22:00+00:00,LONG,133.6,133.6,0.5300000000000011,wavegate_momentum,133.6,BE,BE,True,False,133.6,0.0
SOLUSDT,2025-04-03T12:43:00+00:00,SHORT,114.1,114.1,0.8200000000000074,wavegate_momentum,114.1,BE,BE,True,False,114.1,0.0
SOLUSDT,2025-04-09T16:33:00+00:00,LONG,107.57,107.57,0.8999999999999915,wavegate_momentum,107.57,BE,BE,True,False,107.57,0.0
SOLUSDT,2025-06-24T13:13:00+00:00,LONG,144.58,144.27,0.3100000000000023,wavegate_momentum,144.27,SL,INIT,False,False,144.58,-1.0
SOLUSDT,2025-07-06T13:29:00+00:00,LONG,149.48,149.48,0.549999999999983,wavegate_momentum,149.48,BE,BE,True,False,149.48,0.0
SOLUSDT,2025-07-16T11:56:00+00:00,LONG,166.51,166.51,0.2599999999999909,wavegate_momentum,166.51,BE,BE,True,False,166.51,0.0
